year,mode,ridership
1995,MRT,740000
1995,LRT,0
1995,Bus,3009000
1996,MRT,850000
1996,LRT,0
1996,Bus,3118000
1997,MRT,911000
1997,LRT,0
1997,Bus,3116000
1998,MRT,946000
1998,LRT,0
1998,Bus,3121000
1999,MRT,986000
1999,LRT,27000
1999,Bus,3213000
2000,MRT,1047000
2000,LRT,39000
2000,Bus,3251000
2001,MRT,1071000
2001,LRT,41000
2001,Bus,3281000
2002,MRT,1081000
2002,LRT,39000
2002,Bus,3197000
2003,MRT,1171000
2003,LRT,50000
2003,Bus,2992000
2004,MRT,1270000
2004,LRT,55000
2004,Bus,2805000
2005,MRT,1321000
2005,LRT,69000
2005,Bus,2779000
2006,MRT,1408000
2006,LRT,74000
2006,Bus,2833000
2007,MRT,1527000
2007,LRT,79000
2007,Bus,2932000
2008,MRT,1698000
2008,LRT,88000
2008,Bus,3087000
2009,MRT,1782000
2009,LRT,90000
2009,Bus,3047000
2010,MRT,2069000
2010,LRT,100000
2010,Bus,3199000
2011,MRT,2295000
2011,LRT,111000
2011,Bus,3385000
2012,MRT,2525000
2012,LRT,124000
2012,Bus,3481000
2013,MRT,2623000
2013,LRT,132000
2013,Bus,3601000
2014,MRT,2762000
2014,LRT,137000
2014,Bus,3751000
2015,MRT,2871000
2015,LRT,152000
2015,Bus,3891000
2016,MRT,3095000
2016,LRT,180000
2016,Bus,3939000
2017,MRT,3122000
2017,LRT,190000
2017,Bus,3952000
2018,MRT,3302000
2018,LRT,199000
2018,Bus,4037000
2019,MRT,3384000
2019,LRT,208000
2019,Bus,4099000
2020,MRT,2023000
2020,LRT,139000
2020,Bus,2878000
2021,MRT,2100000
2021,LRT,151000
2021,Bus,3008000
2022,MRT,2745000
2022,LRT,184000
2022,Bus,3461000
2023,MRT,3243000
2023,LRT,202000
2023,Bus,3747000
2024,MRT,3412000
2024,LRT,210000
2024,Bus,3837000
