Thousands,Total,NoWorkingPerson,1WorkingPerson,2WorkingPersons,3WorkingPersons,4OrMoreWorkingPersons
Total,1225.3,118.8,397.3,468.8,159.6,80.8
No Working Person,118.8,118.8,0,0,0,0
"Below 1,000",24,0,23.2,0.8,0,0
"1,000 - 1,499",36.4,0,34,2.2,0.1,0
"1,500 - 1,999",33.6,0,27.9,5.5,0.3,0
"2,000 - 2,499",37.4,0,27.3,9.4,0.7,0
"2,500 - 2,999",33.2,0,21.5,11,0.6,0.1
"3,000 - 3,499",33.7,0,20.7,11.5,1.6,0
"3,500 - 3,999",34,0,18.6,13.3,2,0.1
"4,000 - 4,499",38.9,0,20.1,15.6,3.1,0.1
"4,500 - 4,999",33.3,0,14.6,14.5,3.7,0.6
"5,000 - 5,999",69.4,0,28.3,31.1,8.9,1.1
"6,000 - 6,999",70.8,0,23.2,33.4,11.7,2.5
"7,000 - 7,999",65.4,0,19.2,30.2,12.7,3.3
"8,000 - 8,999",65,0,17.2,31.1,12.8,3.9
"9,000 - 9,999",58.6,0,13.8,27.8,12.7,4.2
"10,000 - 10,999",52.7,0,12.9,24.6,10.7,4.6
"11,000 - 11,999",46.9,0,9.1,22.5,10.4,5
"12,000 - 12,999",43.8,0,8.1,22.4,8.6,4.7
"13,000 - 13,999",36.8,0,6.5,17.4,8.2,4.7
"14,000 - 14,999",33.6,0,5.8,15.9,6.7,5.2
"15,000 - 17,499",63.5,0,10.7,30.7,12.2,9.9
"17,500 - 19,999",46.9,0,7,23.6,8.4,7.9
"20,000 & Over",148.6,0,27.5,74.4,23.6,23.1
