Thousands,Total,PublicBusOnly,MRTOnly,MRTandPublicBusOnly,OtherCombinationsOfMRTOrPublicBus,TaxiOnly,CarOnly,PrivateCharteredBus_VanOnly,Lorry_PickupOnly,Motorcycle_ScooterOnly,Others,NoTransportRequired
Total,2147.8,353.6,257.7,533.4,115.5,28.4,470,58.3,42.8,73.2,32.1,182.7
Ang Mo Kio,100.9,16.6,11.9,26.7,4.4,1.1,20.7,2.4,2.3,3,1.4,10.3
Bedok,150.1,32.5,11.9,34.8,6,3,36.9,3.1,2,5.2,2.1,12.6
Bishan,49.4,6.2,6.5,14,1.8,0.6,14.3,0.7,0.7,0.8,0.2,3.6
Bukit Batok,75.5,10.8,10.8,18.4,3.7,0.5,17.6,2.5,1.8,2.5,0.8,6.1
Bukit Merah,82,22,8.9,19.2,2.7,1.4,14.8,0.8,1,2,0.7,8.5
Bukit Panjang,80.1,17.8,2.2,11.3,10.4,0.9,21.4,3.6,2.2,3.7,1.5,4.9
Bukit Timah,36.8,3.5,1.5,5.6,1.7,0.6,19.8,0.3,0.2,0.2,0.7,2.7
Choa Chu Kang,97.1,9.1,16.4,26.4,7.6,0.6,19.4,4.2,2.4,3.4,1.2,6.6
Clementi,45.9,8.9,3.8,12.4,2.3,0.6,10.8,0.7,0.7,1.3,0.7,3.6
Geylang,61.2,11.6,8.4,16.4,1.3,0.5,10.7,0.5,0.8,1.8,1.4,7.7
Hougang,120.7,24,9.4,33.6,3.9,1.1,27.1,3.1,3.2,3.6,1.5,10.3
Jurong East,45.9,9.9,4.1,11.8,2,0.5,8.6,2,1.3,1.7,0.3,3.7
Jurong West,158.3,23.3,17.5,41.4,6.8,1.5,29.4,11.2,6,6.8,3.3,11.2
Kallang,55.4,8.6,9.1,14.1,2.8,1,10,0.6,1.1,1.4,1,5.7
Marine Parade,21.4,5.7,0.3,3.6,1,0.6,7.5,0.1,0,0.2,0.4,1.7
Novena,23.8,5,1.9,4.8,0.3,0.7,7.1,0.2,0.2,0.5,0.4,2.7
Outram,11.7,1.7,1.4,3.1,0.2,0.1,1.4,0.2,0,0.2,0.2,3
Pasir Ris,78,11.6,6.7,20.2,3.9,1.9,20.2,1.6,0.9,3.4,1.5,6.1
Punggol,60.3,6.3,9,11.6,9,0.6,15.6,1.3,0.7,2,0.8,3.4
Queenstown,48.9,9.1,7.8,11.8,2.5,0.7,9.8,1,0.3,1,0.1,4.7
Sembawang,47.2,4.1,11,12.8,2.7,0.2,8.6,1,0.8,1.8,0.8,3.3
Sengkang,124.1,17.4,20.9,22.5,16.8,1.1,25.7,2.5,2.3,4.5,2.1,8.2
Serangoon,68.1,9.8,8.3,17.6,2.5,1.2,20.2,0.7,1,1.3,0.2,5.4
Tampines,152.4,31.1,15.7,37.6,6.6,2.5,30.2,5,2.5,6.6,2.5,12.2
Tanglin,8.9,0.8,0.3,1.2,0.2,0.6,4.9,0.1,0,0.1,0.3,0.5
Toa Payoh,68.8,11.4,11.5,19.7,2.5,0.7,11.2,1.5,0.9,1.6,0.8,7.1
Woodlands,134.8,16.1,19.6,41.4,5.9,1.6,21.3,4,3.8,7.4,2.9,10.8
Yishun,119,16.1,18.5,36.1,3.9,0.9,18.7,2.9,3.7,4.7,1.9,11.6
Others,21.4,2.7,2.4,3.4,0.4,1.1,6.1,0.2,0.2,0.4,0.3,4.3
